id;descricao;cep;logradouro;numero;complemento;referencia;cidade;estado;pais
999832d9-fdb3-48a2-9e59-ee46620deddb;sadly gladly shyly;concerning;sugary;cavernous;behind aw shiny;boo even;frankly psst;left;realistic fooey fooey
ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;peppery;flight ha handful;ugh institute onto;by;unfortunately;hmph as;tedious;delightfully;fess because
eba9b063-f0d6-4e84-b588-f092e91b426d;signature like;gratefully;phew;brightly reward whoever;instead minus while;alligator alongside;stall;anenst ultimately apostrophize;ribbon glider whose
94a04f60-e909-446e-95bc-9ec00c04c45c;uh-huh;equal;jubilantly;wherever;a lined;elver;left mmm;incandescence pfft serve;hungry
b8e7da78-9d18-4945-8b1f-c5f5f89cf040;finally;disconnection;huff defiantly properly;overconfidently;uh-huh bah the;whimsical behold iterate;proofread;bah though aha;husband absentmindedly overstay
75013b58-6820-4493-b4ab-d10f63a17866;even wheel per;than;meadow intently unfortunately;for;finally really round;amidst shrill homely;by pressure;soon mid;respray worth loudly
26a87007-3ee3-420d-acbb-3c983893484b;in fraudster;grim abaft sonata;unlike gum;unearth;flawless whoever;gullible singe;dramatic bruised unbalance;moor meanwhile;successfully
24074a79-05cb-4a36-91dd-082baf7009bd;instead solvency hmph;necessary;fireplace vanadyl;euphonium tabulate amused;truly briefly yuck;apud;every unzip;while sediment;silent hyphenation release
f275e608-a603-48d7-83bc-c23a9c6182d5;forenenst coolly after;how now;wilted truthfully;bare lest;disbar resource switch;complication;questionably abnegate;lifestyle anenst triangular;taxicab what
26e9efdd-d08a-48b8-bc18-ac9668ff43ee;appertain coaxingly astride;madly sniff;hm;whose energetically playfully;electronics ick;peninsula why;now;enthusiastically grandiose;ha gee
